"","Longitude","Latitude"
"1",0.419628,45.680649
"2",1.582,44.4785
"3",1.0583436,45.2716148
"6",1.044908,44.969148
"8",0.647394,45.365187
"11",0.7251565,46.4032478
"26",1.535,45.158
"28",6.26457,48.001416
"29",1.3306,47.292
"32",-0.861543,47.358377
"35",0.448,44.7833
"42",1.732,44.075
"47",0.888257,44.560209
"54",3.756,47.602
"56",0.93,46.856
"58",-0.275,44.795
"59",1.708,44.854
"61",-0.7696809,46.621337
"62",-2.998,48.849
