"","Longitude","Latitude"
"1",0.419628,45.680649
"2",1.582,44.4785
"3",1.0583436,45.2716148
"8",0.647394,45.365187
"11",0.7251565,46.4032478
"12",-0.286936,44.818735
"15",0.888257,44.560209
"25",1.535,45.158
"28",6.26457,48.001416
"29",1.3306,47.292
"32",-0.861543,47.358377
"35",0.448,44.7833
"42",1.732,44.075
"45",1.14,44.94
"53",-1.9,43.27
"55",-2.6288523,43.1155468
"56",-0.694419,43.63413
"61",0.667059,43.232713
"62",-0.3321,43.8617
"63",-1.2,43.35
"64",1.605232,42.964127
"67",1.13,43.01
