"","Longitude","Latitude"
"1",-1.9,43.27
"3",-2.6288523,43.1155468
"4",-0.694419,43.63413
"7",-0.917683,43.142232
"9",0.667059,43.232713
"10",-0.3321,43.8617
"12",1.605232,42.964127
"15",1.13,43.01
