"","Longitude","Latitude"
"1",1.668,44.5442
"2",1.0299,44.93
"3",2.2617,49.896
"4",2.12557,50.68952
"5",2.9369971,49.6387203
"6",1.535,45.158
"7",1.3306,47.292
"8",3.478141,45.160909
"9",2.692611,48.267043
"10",-0.7696809,46.621337
"11",8.2762513,50.0012314
"13",2.6815,47.647
"14",3.379284,48.172729
